Id,Product_name,Region,Category,Sub_Category,Date,Quantity,Unit_Price,Profit,Sales,
32,Mobile,West,Electronics,Standard,2/1/2024,2,22000,3600,44000,
33,Tablet,North,Electronics,Basic,2/2/2024,1,15000,2000,15000,
34,Chair,South,Furniture,Standard,2/3/2024,2,7000,1400,14000,
35,Notebook,East,Stationery,Basic,2/4/2024,4,2000,750,8000,
36,Laptop,West,Electronics,Premium,2/5/2024,1,58000,9400,58000,
37,Mobile,North,Electronics,Standard,2/6/2024,1,21000,3000,21000,
38,Tablet,South,Electronics,Basic,2/7/2024,2,15000,2300,30000,
39,Chair,East,Furniture,Standard,2/8/2024,3,7000,1600,21000,
40,Notebook,West,Stationery,Basic,2/9/2024,5,2000,900,10000,
41,Laptop,North,Electronics,Premium,2/10/2024,1,52000,8200,52000,
42,Mobile,South,Electronics,Standard,2/11/2024,2,20000,3100,40000,
43,Tablet,East,Electronics,Basic,2/12/2024,1,15000,1900,15000,
44,Chair,West,Furniture,Standard,2/13/2024,2,7000,1500,14000,
45,Notebook,North,Stationery,Basic,2/14/2024,4,2000,700,8000,
46,Laptop,South,Electronics,Premium,2/15/2024,1,55000,8900,55000,
47,Mobile,East,Electronics,Standard,2/16/2024,1,22000,3300,22000,
48,Tablet,West,Electronics,Basic,2/17/2024,2,15000,2500,30000,
49,Chair,North,Furniture,Standard,2/18/2024,3,7000,1700,21000,
50,Notebook,South,Stationery,Basic,2/19/2024,5,2000,850,10000,
51,Laptop,East,Electronics,Premium,2/20/2024,1,60000,10200,60000,
52,Mobile,West,Electronics,Standard,2/21/2024,2,21000,3500,42000,
53,Tablet,North,Electronics,Basic,2/22/2024,1,15000,2000,15000,
54,Chair,South,Furniture,Standard,2/23/2024,2,7000,1400,14000,
55,Notebook,East,Stationery,Basic,2/24/2024,4,2000,750,8000,
56,Laptop,West,Electronics,Premium,2/25/2024,1,58000,9400,58000,
57,Mobile,North,Electronics,Standard,2/26/2024,1,20000,2800,20000,
58,Tablet,South,Electronics,Basic,2/27/2024,2,15000,2300,30000,
59,Chair,East,Furniture,Standard,2/28/2024,3,7000,1600,21000,
60,Notebook,West,Stationery,Basic,2/29/2024,5,2000,900,10000,
61,Laptop,North,Electronics,Premium,3/1/2024,1,52000,8200,52000,
62,Mobile,South,Electronics,Standard,3/2/2024,2,20000,3100,40000,
63,Tablet,East,Electronics,Basic,3/3/2024,1,15000,1900,15000,
64,Chair,West,Furniture,Standard,3/4/2024,2,7000,1500,14000,
65,Notebook,North,Stationery,Basic,3/5/2024,4,2000,700,8000,
66,Laptop,South,Electronics,Premium,3/6/2024,1,55000,8900,55000,
67,Mobile,East,Electronics,Standard,3/7/2024,1,22000,3300,22000,
68,Tablet,West,Electronics,Basic,3/8/2024,2,15000,2500,30000,
69,Chair,North,Furniture,Standard,3/9/2024,3,7000,1700,21000,
70,Notebook,South,Stationery,Basic,3/10/2024,5,2000,850,10000,
71,Laptop,East,Electronics,Premium,3/11/2024,1,60000,10200,60000,
72,Mobile,West,Electronics,Standard,3/12/2024,2,21000,3500,42000,
73,Tablet,North,Electronics,Basic,3/13/2024,1,15000,2000,15000,
74,Chair,South,Furniture,Standard,3/14/2024,2,7000,1400,14000,
75,Notebook,East,Stationery,Basic,3/15/2024,4,2000,750,8000,
76,Laptop,West,Electronics,Premium,3/16/2024,1,58000,9400,58000,
77,Mobile,North,Electronics,Standard,3/17/2024,1,20000,2800,20000,
78,Tablet,South,Electronics,Basic,3/18/2024,2,15000,2300,30000,
79,Chair,East,Furniture,Standard,3/19/2024,3,7000,1600,21000,
80,Notebook,West,Stationery,Basic,3/20/2024,5,2000,900,10000,
81,Laptop,North,Electronics,Premium,3/21/2024,1,52000,8200,52000,
82,Mobile,South,Electronics,Standard,3/22/2024,2,20000,3100,40000,
83,Tablet,East,Electronics,Basic,3/23/2024,1,15000,1900,15000,
84,Chair,West,Furniture,Standard,3/24/2024,2,7000,1500,14000,
85,Notebook,North,Stationery,Basic,3/25/2024,4,2000,700,8000,
86,Laptop,South,Electronics,Premium,3/26/2024,1,55000,8900,55000,
87,Mobile,East,Electronics,Standard,3/27/2024,1,22000,3300,22000,
88,Tablet,West,Electronics,Basic,3/28/2024,2,15000,2500,30000,
89,Chair,North,Furniture,Standard,3/29/2024,3,7000,1700,21000,
90,Notebook,South,Stationery,Basic,3/30/2024,5,2000,850,10000,
91,Laptop,East,Electronics,Premium,3/31/2024,1,60000,10200,60000,
92,Mobile,West,Electronics,Standard,4/1/2024,2,21000,3500,42000,
93,Tablet,North,Electronics,Basic,4/2/2024,1,15000,2000,15000,
94,Chair,South,Furniture,Standard,4/3/2024,2,7000,1400,14000,
95,Notebook,East,Stationery,Basic,4/4/2024,4,2000,750,8000,
96,Laptop,West,Electronics,Premium,4/5/2024,1,58000,9400,58000,
97,Mobile,North,Electronics,Standard,4/6/2024,1,20000,2800,20000,
98,Tablet,South,Electronics,Basic,4/7/2024,2,15000,2300,30000,
99,Chair,East,Furniture,Standard,4/8/2024,3,7000,1600,21000,
100,Notebook,West,Stationery,Basic,4/9/2024,5,2000,900,10000,
101,Laptop,North,,Premium,4/10/2024,7,50000,8000,350000,
102,Mobile,South,,Standard,4/11/2024,5,20000,3000,100000,
103,Tablet,East,,Basic,4/12/2024,8,15000,2000,120000,
104,Chair,West,,Standard,4/13/2024,3,7000,1500,21000,
105,Notebook,North,,Basic,4/14/2024,1,2000,700,2000,
106,Laptop,South,,Premium,4/15/2024,2,55000,9000,110000,
107,Mobile,East,,Standard,4/16/2024,1,22000,3200,22000,
108,Tablet,West,,Basic,4/17/2024,3,15000,2500,45000,
109,Chair,North,,Standard,4/18/2024,5,7000,1200,35000,
110,Notebook,South,,Basic,4/19/2024,1,2000,600,2000,
111,Laptop,East,,Premium,4/20/2024,1,60000,10000,60000,
112,Mobile,West,,Standard,4/21/2024,2,21000,3500,42000,
113,Tablet,North,,Basic,4/22/2024,1,15000,1800,15000,
114,Chair,South,,Standard,4/23/2024,3,7000,1400,21000,
115,Notebook,East,,Basic,4/24/2024,1,2000,800,2000,
116,Laptop,West,,Premium,4/25/2024,2,58000,9500,116000,
117,Mobile,North,,Standard,4/26/2024,1,20000,2800,20000,
118,Tablet,South,,Basic,4/27/2024,2,15000,2200,30000,
119,Chair,East,,Standard,4/28/2024,4,7000,1600,28000,
120,Notebook,West,,Basic,4/29/2024,1,2000,900,2000,
121,Laptop,North,,Premium,4/30/2024,1,52000,8500,52000,
122,Mobile,South,,Standard,5/1/2024,2,21000,3300,42000,
123,Tablet,East,,Basic,5/2/2024,3,15000,1900,45000,
124,Chair,West,,Standard,5/3/2024,5,7000,1500,35000,
125,Notebook,North,,Basic,5/4/2024,1,2000,700,2000,
126,Laptop,South,,Premium,5/5/2024,2,54000,8800,108000,
127,Mobile,East,,Standard,5/6/2024,1,23000,3400,23000,
128,Tablet,West,,Basic,5/7/2024,2,15000,2600,30000,
129,Chair,North,,Standard,5/8/2024,4,7000,1700,28000,
130,Notebook,South,,Basic,5/9/2024,1,2000,850,2000,
131,Laptop,East,,Premium,5/10/2024,1,60000,10200,60000,
132,Mobile,West,,Standard,5/11/2024,2,22000,3600,44000,
133,Tablet,North,,Basic,5/12/2024,3,15000,2000,45000,
134,Chair,South,,Standard,5/13/2024,5,7000,1400,35000,
135,Notebook,East,,Basic,5/14/2024,1,2000,750,2000,
136,Laptop,West,,Premium,5/15/2024,2,58000,9400,116000,
137,Mobile,North,,Standard,5/16/2024,1,21000,3000,21000,
138,Tablet,South,,Basic,5/17/2024,2,15000,2300,30000,
139,Chair,East,,Standard,5/18/2024,4,7000,1600,28000,
140,Notebook,West,,Basic,5/19/2024,1,2000,900,2000,
141,Laptop,North,,Premium,5/20/2024,1,52000,8200,52000,
142,Mobile,South,,Standard,5/21/2024,2,20000,3100,40000,
143,Tablet,East,,Basic,5/22/2024,3,15000,1900,45000,
144,Chair,West,,Standard,5/23/2024,5,7000,1500,35000,
145,Notebook,North,,Basic,5/24/2024,1,2000,700,2000,
146,Laptop,South,,Premium,5/25/2024,2,55000,8900,110000,
147,Mobile,East,,Standard,5/26/2024,1,22000,3300,22000,
148,Tablet,West,,Basic,5/27/2024,2,15000,2500,30000,
149,Chair,North,,Standard,5/28/2024,4,7000,1700,28000,
150,Notebook,South,,Basic,5/29/2024,1,2000,850,2000,
151,Laptop,East,,Premium,5/30/2024,1,60000,10200,60000,
152,Mobile,West,,Standard,5/31/2024,2,21000,3500,42000,
153,Tablet,North,,Basic,6/1/2024,3,15000,2000,45000,
154,Chair,South,,Standard,6/2/2024,5,7000,1400,35000,
155,Notebook,East,,Basic,6/3/2024,1,2000,750,2000,
156,Laptop,West,,Premium,6/4/2024,2,58000,9400,116000,
157,Mobile,North,,Standard,6/5/2024,1,20000,2800,20000,
158,Tablet,South,,Basic,6/6/2024,2,15000,2300,30000,
159,Chair,East,,Standard,6/7/2024,4,7000,1600,28000,
160,Notebook,West,,Basic,6/8/2024,1,2000,900,2000,
161,Laptop,North,,Premium,6/9/2024,1,52000,8200,52000,
162,Mobile,South,,Standard,6/10/2024,2,20000,3100,40000,
163,Tablet,East,,Basic,6/11/2024,3,15000,1900,45000,
164,Chair,West,,Standard,6/12/2024,5,7000,1500,35000,
165,Notebook,North,,Basic,6/13/2024,1,2000,700,2000,
166,Laptop,South,,Premium,6/14/2024,2,55000,8900,110000,
167,Mobile,East,,Standard,6/15/2024,1,22000,3300,22000,
168,Tablet,West,,Basic,6/16/2024,2,15000,2500,30000,
169,Chair,North,,Standard,6/17/2024,4,7000,1700,28000,
170,Notebook,South,,Basic,6/18/2024,1,2000,850,2000,
171,Laptop,East,,Premium,6/19/2024,1,60000,10200,60000,
172,Mobile,West,,Standard,6/20/2024,2,21000,3500,42000,
173,Tablet,North,,Basic,6/21/2024,3,15000,2000,45000,
174,Chair,South,,Standard,6/22/2024,5,7000,1400,35000,
175,Notebook,East,,Basic,6/23/2024,1,2000,750,2000,
176,Laptop,West,,Premium,6/24/2024,2,58000,9400,116000,
177,Mobile,North,,Standard,6/25/2024,1,20000,2800,20000,
178,Tablet,South,,Basic,6/26/2024,2,15000,2300,30000,
179,Chair,East,,Standard,6/27/2024,4,7000,1600,28000,
180,Notebook,West,,Basic,6/28/2024,1,2000,900,2000,
181,Laptop,North,,Premium,6/29/2024,1,52000,8200,52000,
182,Mobile,South,,Standard,6/30/2024,2,20000,3100,40000,
183,Tablet,East,,Basic,7/1/2024,3,15000,1900,45000,
184,Chair,West,,Standard,7/2/2024,5,7000,1500,35000,
185,Notebook,North,,Basic,7/3/2024,1,2000,700,2000,
186,Laptop,South,,Premium,7/4/2024,2,55000,8900,110000,
187,Mobile,East,,Standard,7/5/2024,1,22000,3300,22000,
188,Tablet,West,,Basic,7/6/2024,2,15000,2500,30000,
189,Chair,North,,Standard,7/7/2024,4,7000,1700,28000,
190,Notebook,South,,Basic,7/8/2024,1,2000,850,2000,
191,Laptop,East,,Premium,7/9/2024,1,60000,10200,60000,
192,Mobile,West,,Standard,7/10/2024,2,21000,3500,42000,
193,Tablet,North,,Basic,7/11/2024,3,15000,2000,45000,
194,Chair,South,,Standard,7/12/2024,5,7000,1400,35000,
195,Notebook,East,,Basic,7/13/2024,1,2000,750,2000,
196,Laptop,West,,Premium,7/14/2024,2,58000,9400,116000,
197,Mobile,North,,Standard,7/15/2024,1,20000,2800,20000,
198,Tablet,South,,Basic,7/16/2024,2,15000,2300,30000,
199,Chair,East,,Standard,7/17/2024,4,7000,1600,28000,
200,Notebook,West,,Basic,7/18/2024,1,2000,900,2000,
201,Laptop,North,,Premium,7/19/2024,1,50000,8000,50000,
202,Mobile,South,,Standard,7/20/2024,2,20000,3000,40000,
203,Tablet,East,,Basic,7/21/2024,3,15000,2000,45000,
204,Chair,West,,Standard,7/22/2024,5,7000,1500,35000,
205,Notebook,North,,Basic,7/23/2024,7,2000,700,14000,
206,Laptop,South,,Premium,7/24/2024,5,55000,9000,275000,
207,Mobile,East,,Standard,7/25/2024,8,22000,3200,176000,
208,Tablet,West,,Basic,7/26/2024,3,15000,2500,45000,
209,Chair,North,,Standard,7/27/2024,1,7000,1200,7000,
210,Notebook,South,,Basic,7/28/2024,2,2000,600,4000,
211,Laptop,East,,Premium,7/29/2024,1,60000,10000,60000,
212,Mobile,West,,Standard,7/30/2024,3,21000,3500,63000,
213,Tablet,North,,Basic,7/31/2024,5,15000,1800,75000,
214,Chair,South,,Standard,8/1/2024,1,7000,1400,7000,
215,Notebook,East,,Basic,8/2/2024,1,2000,800,2000,
216,Laptop,West,,Premium,8/3/2024,2,58000,9500,116000,
217,Mobile,North,,Standard,8/4/2024,1,20000,2800,20000,
218,Tablet,South,,Basic,8/5/2024,3,15000,2200,45000,
219,Chair,East,,Standard,8/6/2024,1,7000,1600,7000,
220,Notebook,West,,Basic,8/7/2024,2,2000,900,4000,
221,Laptop,North,,Premium,8/8/2024,1,52000,8500,52000,
222,Mobile,South,,Standard,8/9/2024,2,21000,3300,42000,
223,Tablet,East,,Basic,8/10/2024,4,15000,1900,60000,
224,Chair,West,,Standard,8/11/2024,1,7000,1500,7000,
225,Notebook,North,,Basic,8/12/2024,1,2000,700,2000,
226,Laptop,South,,Premium,8/13/2024,2,54000,8800,108000,
227,Mobile,East,,Standard,8/14/2024,3,23000,3400,69000,
228,Tablet,West,,Basic,8/15/2024,5,15000,2600,75000,
229,Chair,North,,Standard,8/16/2024,1,7000,1700,7000,
230,Notebook,South,,Basic,8/17/2024,2,2000,850,4000,
231,Laptop,East,,Premium,8/18/2024,1,60000,10200,60000,
232,Mobile,West,,Standard,8/19/2024,2,22000,3600,44000,
233,Tablet,North,,Basic,8/20/2024,4,15000,2000,60000,
234,Chair,South,,Standard,8/21/2024,1,7000,1400,7000,
235,Notebook,East,,Basic,8/22/2024,1,2000,750,2000,
236,Laptop,West,,Premium,8/23/2024,2,58000,9400,116000,
237,Mobile,North,,Standard,8/24/2024,3,21000,3000,63000,
238,Tablet,South,,Basic,8/25/2024,5,15000,2300,75000,
239,Chair,East,,Standard,8/26/2024,1,7000,1600,7000,
240,Notebook,West,,Basic,8/27/2024,2,2000,900,4000,
241,Laptop,North,,Premium,8/28/2024,1,52000,8200,52000,
242,Mobile,South,,Standard,8/29/2024,2,20000,3100,40000,
243,Tablet,East,,Basic,8/30/2024,4,15000,1900,60000,
244,Chair,West,,Standard,8/31/2024,1,7000,1500,7000,
245,Notebook,North,,Basic,9/1/2024,1,2000,700,2000,
246,Laptop,South,,Premium,9/2/2024,2,55000,8900,110000,
247,Mobile,East,,Standard,9/3/2024,3,22000,3300,66000,
248,Tablet,West,,Basic,9/4/2024,5,15000,2500,75000,
249,Chair,North,,Standard,9/5/2024,1,7000,1700,7000,
250,Notebook,South,,Basic,9/6/2024,2,2000,850,4000,
251,Laptop,East,,Premium,9/7/2024,1,60000,10200,60000,
252,Mobile,West,,Standard,9/8/2024,2,21000,3500,42000,
253,Tablet,North,,Basic,9/9/2024,4,15000,2000,60000,
254,Chair,South,,Standard,9/10/2024,1,7000,1400,7000,
255,Notebook,East,,Basic,9/11/2024,1,2000,750,2000,
256,Laptop,West,,Premium,9/12/2024,2,58000,9400,116000,
257,Mobile,North,,Standard,9/13/2024,3,20000,2800,60000,
258,Tablet,South,,Basic,9/14/2024,5,15000,2300,75000,
259,Chair,East,,Standard,9/15/2024,1,7000,1600,7000,
260,Notebook,West,,Basic,9/16/2024,2,2000,900,4000,
261,Laptop,North,,Premium,9/17/2024,1,52000,8200,52000,
262,Mobile,South,,Standard,9/18/2024,2,20000,3100,40000,
263,Tablet,East,,Basic,9/19/2024,4,15000,1900,60000,
264,Chair,West,,Standard,9/20/2024,1,7000,1500,7000,
265,Notebook,North,,Basic,9/21/2024,1,2000,700,2000,
266,Laptop,South,,Premium,9/22/2024,2,55000,8900,110000,
267,Mobile,East,,Standard,9/23/2024,3,22000,3300,66000,
268,Tablet,West,,Basic,9/24/2024,5,15000,2500,75000,
269,Chair,North,,Standard,9/25/2024,1,7000,1700,7000,
270,Notebook,South,,Basic,9/26/2024,2,2000,850,4000,
271,Laptop,East,,Premium,9/27/2024,1,60000,10200,60000,
272,Mobile,West,,Standard,9/28/2024,2,21000,3500,42000,
273,Tablet,North,,Basic,9/29/2024,4,15000,2000,60000,
274,Chair,South,,Standard,9/30/2024,1,7000,1400,7000,
275,Notebook,East,,Basic,10/1/2024,1,2000,750,2000,
276,Laptop,West,,Premium,10/2/2024,2,58000,9400,116000,
277,Mobile,North,,Standard,10/3/2024,3,20000,2800,60000,
278,Tablet,South,,Basic,10/4/2024,5,15000,2300,75000,
279,Chair,East,,Standard,10/5/2024,1,7000,1600,7000,
280,Notebook,West,,Basic,10/6/2024,2,2000,900,4000,
281,Laptop,North,,Premium,10/7/2024,1,52000,8200,52000,
282,Mobile,South,,Standard,10/8/2024,2,20000,3100,40000,
283,Tablet,East,,Basic,10/9/2024,4,15000,1900,60000,
284,Chair,West,,Standard,10/10/2024,1,7000,1500,7000,
285,Notebook,North,,Basic,10/11/2024,1,2000,700,2000,
286,Laptop,South,,Premium,10/12/2024,2,55000,8900,110000,
287,Mobile,East,,Standard,10/13/2024,3,22000,3300,66000,
288,Tablet,West,,Basic,10/14/2024,5,15000,2500,75000,
289,Chair,North,,Standard,10/15/2024,1,7000,1700,7000,
290,Notebook,South,,Basic,10/16/2024,2,2000,850,4000,
291,Laptop,East,,Premium,10/17/2024,1,60000,10200,60000,
292,Mobile,West,,Standard,10/18/2024,2,21000,3500,42000,
293,Tablet,North,,Basic,10/19/2024,4,15000,2000,60000,
294,Chair,South,,Standard,10/20/2024,1,7000,1400,7000,
295,Notebook,East,,Basic,10/21/2024,1,2000,750,2000,
296,Laptop,West,,Premium,10/22/2024,2,58000,9400,116000,
297,Mobile,North,,Standard,10/23/2024,3,20000,2800,60000,
298,Tablet,South,,Basic,10/24/2024,5,15000,2300,75000,
299,Chair,East,,Standard,10/25/2024,1,7000,1600,7000,
300,Notebook,West,,Basic,10/26/2024,2,2000,900,4000,
301,Laptop,North,,Premium,10/27/2024,1,50000,8000,50000,
302,Mobile,South,,Standard,10/28/2024,2,20000,3000,40000,
303,Tablet,East,,Basic,10/29/2024,4,15000,2000,60000,
304,Chair,West,,Standard,10/30/2024,1,7000,1500,7000,
305,Notebook,North,,Basic,10/31/2024,1,2000,700,2000,
306,Laptop,South,,Premium,11/1/2024,2,55000,9000,110000,
307,Mobile,East,,Standard,11/2/2024,3,22000,3200,66000,
308,Tablet,West,,Basic,11/3/2024,5,15000,2500,75000,
309,Chair,North,,Standard,11/4/2024,7,7000,1200,49000,
310,Notebook,South,,Basic,11/5/2024,5,2000,600,10000,
311,Laptop,East,,Premium,11/6/2024,8,60000,10000,480000,
312,Mobile,West,,Standard,11/7/2024,3,21000,3500,63000,
313,Tablet,North,,Basic,11/8/2024,1,15000,1800,15000,
314,Chair,South,,Standard,11/9/2024,2,7000,1400,14000,
315,Notebook,East,,Basic,11/10/2024,1,2000,800,2000,
316,Laptop,West,,Premium,11/11/2024,3,58000,9500,174000,
317,Mobile,North,,Standard,11/12/2024,5,20000,2800,100000,
318,Tablet,South,,Basic,11/13/2024,1,15000,2200,15000,
319,Chair,East,,Standard,11/14/2024,1,7000,1600,7000,
320,Notebook,West,,Basic,11/15/2024,2,2000,900,4000,
321,Laptop,North,,Premium,11/16/2024,1,52000,8500,52000,
322,Mobile,South,,Standard,11/17/2024,3,21000,3300,63000,
323,Tablet,East,,Basic,11/18/2024,1,15000,1900,15000,
324,Chair,West,,Standard,11/19/2024,2,7000,1500,14000,
325,Notebook,North,,Basic,11/20/2024,1,2000,700,2000,
326,Laptop,South,,Premium,11/21/2024,2,54000,8800,108000,
327,Mobile,East,,Standard,11/22/2024,4,23000,3400,92000,
328,Tablet,West,,Basic,11/23/2024,1,15000,2600,15000,
329,Chair,North,,Standard,11/24/2024,1,7000,1700,7000,
330,Notebook,South,,Basic,11/25/2024,2,2000,850,4000,
331,Laptop,East,,Premium,11/26/2024,3,60000,10200,180000,
332,Mobile,West,,Standard,11/27/2024,5,22000,3600,110000,
333,Tablet,North,,Basic,11/28/2024,1,15000,2000,15000,
334,Chair,South,,Standard,11/29/2024,2,7000,1400,14000,
335,Notebook,East,,Basic,11/30/2024,1,2000,750,2000,
336,Laptop,West,,Premium,12/1/2024,2,58000,9400,116000,
337,Mobile,North,,Standard,12/2/2024,4,21000,3000,84000,
338,Tablet,South,,Basic,12/3/2024,1,15000,2300,15000,
339,Chair,East,,Standard,12/4/2024,1,7000,1600,7000,
340,Notebook,West,,Basic,12/5/2024,2,2000,900,4000,
341,Laptop,North,,Premium,12/6/2024,3,52000,8200,156000,
342,Mobile,South,,Standard,12/7/2024,5,20000,3100,100000,
343,Tablet,East,,Basic,12/8/2024,1,15000,1900,15000,
344,Chair,West,,Standard,12/9/2024,2,7000,1500,14000,
345,Notebook,North,,Basic,12/10/2024,1,2000,700,2000,
346,Laptop,South,,Premium,12/11/2024,2,55000,8900,110000,
347,Mobile,East,,Standard,12/12/2024,4,22000,3300,88000,
348,Tablet,West,,Basic,12/13/2024,1,15000,2500,15000,
349,Chair,North,,Standard,12/14/2024,1,7000,1700,7000,
350,Notebook,South,,Basic,12/15/2024,2,2000,850,4000,
351,Laptop,East,,Premium,12/16/2024,3,60000,10200,180000,
352,Mobile,West,,Standard,12/17/2024,5,21000,3500,105000,
353,Tablet,North,,Basic,12/18/2024,1,15000,2000,15000,
354,Chair,South,,Standard,12/19/2024,2,7000,1400,14000,
355,Notebook,East,,Basic,12/20/2024,1,2000,750,2000,
356,Laptop,West,,Premium,12/21/2024,2,58000,9400,116000,
357,Mobile,North,,Standard,12/22/2024,4,20000,2800,80000,
358,Tablet,South,,Basic,12/23/2024,1,15000,2300,15000,
359,Chair,East,,Standard,12/24/2024,1,7000,1600,7000,
360,Notebook,West,,Basic,12/25/2024,2,2000,900,4000,
361,Laptop,North,,Premium,12/26/2024,3,52000,8200,156000,
362,Mobile,South,,Standard,12/27/2024,5,20000,3100,100000,
363,Tablet,East,,Basic,12/28/2024,1,15000,1900,15000,
364,Chair,West,,Standard,12/29/2024,2,7000,1500,14000,
365,Notebook,North,,Basic,12/30/2024,1,2000,700,2000,
366,Laptop,South,,Premium,12/31/2024,2,55000,8900,110000,
367,Mobile,East,,Standard,1/1/2025,4,22000,3300,88000,
368,Tablet,West,,Basic,1/2/2025,1,15000,2500,15000,
369,Chair,North,,Standard,1/3/2025,1,7000,1700,7000,
370,Notebook,South,,Basic,1/4/2025,2,2000,850,4000,
371,Laptop,East,,Premium,1/5/2025,3,60000,10200,180000,
372,Mobile,West,,Standard,1/6/2025,5,21000,3500,105000,
373,Tablet,North,,Basic,1/7/2025,1,15000,2000,15000,
374,Chair,South,,Standard,1/8/2025,2,7000,1400,14000,
375,Notebook,East,,Basic,1/9/2025,1,2000,750,2000,
376,Laptop,West,,Premium,1/10/2025,2,58000,9400,116000,
377,Mobile,North,,Standard,1/11/2025,4,20000,2800,80000,
378,Tablet,South,,Basic,1/12/2025,1,15000,2300,15000,
379,Chair,East,,Standard,1/13/2025,1,7000,1600,7000,
380,Notebook,West,,Basic,1/14/2025,2,2000,900,4000,
381,Laptop,North,,Premium,1/15/2025,3,52000,8200,156000,
382,Mobile,South,,Standard,1/16/2025,5,20000,3100,100000,
383,Tablet,East,,Basic,1/17/2025,1,15000,1900,15000,
384,Chair,West,,Standard,1/18/2025,2,7000,1500,14000,
385,Notebook,North,,Basic,1/19/2025,1,2000,700,2000,
386,Laptop,South,,Premium,1/20/2025,2,55000,8900,110000,
387,Mobile,East,,Standard,1/21/2025,4,22000,3300,88000,
388,Tablet,West,,Basic,1/22/2025,1,15000,2500,15000,
389,Chair,North,,Standard,1/23/2025,1,7000,1700,7000,
390,Notebook,South,,Basic,1/24/2025,2,2000,850,4000,
391,Laptop,East,,Premium,1/25/2025,3,60000,10200,180000,
392,Mobile,West,,Standard,1/26/2025,5,21000,3500,105000,
393,Tablet,North,,Basic,1/27/2025,1,15000,2000,15000,
394,Chair,South,,Standard,1/28/2025,2,7000,1400,14000,
395,Notebook,East,,Basic,1/29/2025,1,2000,750,2000,
396,Laptop,West,,Premium,1/30/2025,2,58000,9400,116000,
397,Mobile,North,,Standard,1/31/2025,4,20000,2800,80000,
398,Tablet,South,,Basic,2/1/2025,1,15000,2300,15000,
399,Chair,East,,Standard,2/2/2025,1,7000,1600,7000,
400,Notebook,West,,Basic,2/3/2025,2,2000,900,4000,
401,Laptop,North,,Premium,2/4/2025,3,50000,8000,150000,
402,Mobile,South,,Standard,2/5/2025,5,20000,3000,100000,
403,Tablet,East,,Basic,2/6/2025,1,15000,2000,15000,
404,Chair,West,,Standard,2/7/2025,2,7000,1500,14000,
405,Notebook,North,,Basic,2/8/2025,1,2000,700,2000,
406,Laptop,South,,Premium,2/9/2025,2,55000,9000,110000,
407,Mobile,East,,Standard,2/10/2025,4,22000,3200,88000,
408,Tablet,West,,Basic,2/11/2025,1,15000,2500,15000,
409,Chair,North,,Standard,2/12/2025,1,7000,1200,7000,
410,Notebook,South,,Basic,2/13/2025,2,2000,600,4000,
411,Laptop,East,,Premium,2/14/2025,3,60000,10000,180000,
412,Mobile,West,,Standard,2/15/2025,5,21000,3500,105000,
413,Tablet,North,,Basic,2/16/2025,7,15000,1800,105000,
414,Chair,South,,Standard,2/17/2025,5,7000,1400,35000,
